SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
07067;685;798;203;119;834;327;1266;46;171
07068;598;671;170;126;693;280;1065;33;171
07069;717;738;179;139;792;345;1250;26;179
07070;659;753;181;154;762;315;1194;27;191
07071;633;735;158;127;722;361;1237;17;114
07072;647;697;168;129;714;333;1212;20;112
07073;499;623;139;84;569;330;951;27;144
07074;802;883;212;156;928;389;1450;23;212
07075;596;644;137;120;639;344;1032;27;181
07076;642;690;178;107;714;333;1121;38;173
07077;644;695;170;136;754;279;1117;40;182
07078;667;691;180;122;788;268;1167;54;137
07079;657;701;149;118;699;392;1212;16;130
07080;840;949;295;150;1009;335;1571;36;182
07081;947;1006;212;207;1100;434;1786;40;127
07082;610;642;166;124;703;259;1080;41;131
07083;603;664;134;109;698;326;1105;35;127
07084;624;644;151;129;705;283;1088;34;146
07085;620;664;180;112;735;257;1169;26;89
07086;704;757;176;128;826;331;1210;46;205
07087;742;820;181;122;875;384;1348;33;181
07088;748;786;230;139;890;275;1240;47;247
07089;607;750;164;114;714;365;1197;38;122
07090;704;720;198;124;775;327;1306;28;90
07091;534;622;147;105;609;295;1012;41;103
07092;593;742;114;97;657;467;1068;26;241
07093;736;828;184;154;809;417;1396;45;123
07094;570;716;143;83;650;410;1125;31;130
07095;692;834;176;144;831;375;1365;33;128
07096;633;768;172;134;728;367;1244;35;122
07097;398;530;84;53;350;441;831;20;77
07098;984;1141;314;220;1159;432;1977;64;84
07099;531;560;102;122;698;169;1012;16;63
07100;557;628;125;82;549;429;1067;36;82
07101;667;722;160;89;658;482;1217;42;130
07102;312;290;85;49;379;89;536;9;57
07103;714;821;159;182;886;308;1178;56;301
07104;739;857;229;124;831;412;1416;50;130
07105;518;559;134;89;600;254;1006;21;50
07106;553;632;172;79;600;334;1112;1;72
07107;615;654;174;99;670;326;1199;20;50
07108;580;624;129;122;633;320;1143;21;40
07109;777;872;186;113;883;467;1474;44;131
07110;458;599;106;86;457;408;1000;16;41
07111;388;501;95;56;389;349;840;27;22
07112;589;653;154;117;688;283;1150;19;73
07113;581;610;177;94;676;244;1088;16;87
07114;537;627;140;113;650;261;1104;14;46
07115;541;570;127;123;578;283;1022;31;58
07116;695;789;220;103;828;333;1366;44;74
07117;844;725;215;117;971;266;1190;117;262
07118;537;708;167;90;661;327;1139;19;87
07119;553;648;172;90;672;267;1030;22;149
07120;562;654;117;110;633;356;1076;19;121
07121;546;650;142;97;626;331;1006;26;164
07122;584;742;147;95;694;390;1181;20;125
07123;671;728;147;170;723;359;1244;23;132
08001;605;687;138;112;718;324;1166;17;109
08002;566;668;142;113;633;346;1146;23;65
08003;586;640;135;107;660;324;1118;18;90
08004;652;787;166;119;789;365;1192;22;225
08005;542;617;124;102;616;317;1013;25;121
08006;704;790;187;149;803;355;1290;48;156
08007;521;676;120;92;600;385;1108;12;77
08008;760;834;199;119;900;376;1406;58;130
08009;787;880;222;145;943;357;1446;45;176
08010;518;606;122;111;627;264;998;19;107
08011;535;662;172;132;620;273;1094;18;85
08012;590;746;157;123;744;312;1149;25;162
08013;537;644;141;90;625;325;1043;16;122
08014;560;646;163;111;656;276;1038;12;156
08015;629;788;176;127;768;346;1162;22;233
08016;505;642;137;88;579;343;984;13;150
08017;643;740;168;107;742;366;1234;19;130
08018;718;842;162;141;881;376;1336;32;192
08019;814;968;228;130;1032;392;1439;58;285
08020;591;709;159;105;722;314;1120;14;166
08021;666;802;179;140;786;363;1268;11;189
08022;560;661;109;113;688;311;1087;7;127
08023;641;714;172;136;754;293;1185;26;144
08024;629;771;166;121;737;376;1207;35;158
08025;528;662;136;104;623;327;959;38;193
08026;657;759;210;100;728;378;1222;36;158
